Only samples that are Within_ET_space = TRUE were used for analysis.,,

sample_name,ET,Within_ET_space
DP103,ET_B,TRUE
DP104,ET_F,TRUE
DP107,ET_B,FALSE
DP108,ET_B,FALSE
DP109,ET_F,TRUE
DP110,ET_F,FALSE
DP111,ET_F,TRUE
DP112,ET_B,FALSE
DP114,ET_B,FALSE
DP115,ET_F,FALSE
DP116,ET_B,TRUE
DP117,ET_F,FALSE
DP119,ET_F,TRUE
DP120,ET_P,FALSE
DP121,ET_B,TRUE
DP122,ET_F,TRUE
DP123,ET_B,TRUE
DP124,ET_B,TRUE
DP127,ET_B,TRUE
DP130,ET_B,TRUE
DP131,ET_F,TRUE
DP132,ET_B,FALSE
DP135,ET_F,TRUE
DP136,ET_B,TRUE
DP137,ET_F,TRUE
DP138,ET_P,FALSE
DP139,ET_F,TRUE
DP143,ET_P,TRUE
DP144,ET_B,TRUE
DP146,ET_B,FALSE
DP147,ET_B,FALSE
DP148,ET_B,FALSE
DP149,ET_B,TRUE
DP150,ET_P,FALSE
DP151,ET_F,TRUE
DP152,ET_B,TRUE
DP153,ET_F,FALSE
DP154,ET_B,TRUE
DP155,ET_B,FALSE
DP156,ET_F,TRUE
DP157,ET_F,TRUE
DP158,ET_F,TRUE
DP159,ET_B,TRUE
DP160,ET_B,FALSE
DP161,ET_B,FALSE
DP162,ET_F,TRUE
DP164,ET_B,TRUE
DP165,ET_F,TRUE
DP166,ET_B,TRUE
DP167,ET_B,FALSE
DP169,ET_P,TRUE
DP170,ET_B,FALSE
DP171,ET_B,TRUE
DP172,ET_B,FALSE
DP175,ET_F,FALSE
DP176,ET_B,TRUE
DP177,ET_F,TRUE
DP178,ET_B,TRUE
DP179,ET_F,TRUE
DP180,ET_F,FALSE
DP181,ET_F,TRUE
DP183,ET_B,FALSE
DP184,ET_B,FALSE
DP185,ET_B,FALSE
DP186,ET_B,TRUE
DP187,ET_B,TRUE
DP188,ET_P,TRUE
DP189,ET_F,FALSE
DP192,ET_B,FALSE
DP193,ET_P,FALSE
DP194,ET_F,FALSE
DP195,ET_F,TRUE
DP197,ET_F,FALSE
DP198,ET_B,TRUE
DP199,ET_F,FALSE
DP200,ET_F,TRUE
DP201,ET_F,FALSE
DP202,ET_B,TRUE
DP203,ET_B,FALSE
DP204,ET_B,TRUE
DP206,ET_B,TRUE
DP207,ET_B,FALSE
DP208,ET_B,FALSE
DP211,ET_F,FALSE
DP213,ET_F,FALSE
DP218,ET_B,FALSE
DP219,ET_F,TRUE
DP220,ET_F,FALSE
DP221,ET_F,TRUE
DP222,ET_F,TRUE
DP223,ET_B,FALSE
DP224,ET_F,FALSE
DP225,ET_F,TRUE
