feature,logFC,AveExpr,t,P.Value,adj.P.Val,B,adjP_fmt,P_fmt
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis_CAG_32,0.489204611544119,-1.46518028502057,1.84340190056381,0.0658756453704305,0.336697743004423,-4.48256785895758,0.337,0.0659
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_38,-0.593901496693668,0.0964620500691952,-1.81012670181147,0.0708902321314628,0.354451160657314,-4.54002877760039,0.354,0.0709
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_invisus,-0.469375245564321,-1.20644377415108,-1.78381121473634,0.0750747343994748,0.367386998125089,-4.58474051698983,0.367,0.0751
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_145,0.497595766356451,-0.318159499300932,1.73233464936339,0.0838449155665596,0.401756887089765,-4.67033460999496,0.402,0.0838
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii,0.632692921110531,0.583056710414503,1.66958976427127,0.0956409253932727,0.433652612152717,-4.77131877449781,0.434,0.0956
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Christensenellaceae|g__Christensenella|s__Christensenella_minuta,0.302567607067008,-1.8588651623644,1.66533782841408,0.0964862439116395,0.433652612152717,-4.7780288745719,0.434,0.0965
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_scindens,0.481295696809373,-0.539241268083478,1.65633045195924,0.0982967841966443,0.433652612152717,-4.79218782034489,0.434,0.0983
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Anaerofustis|s__Anaerofustis_stercorihominis,0.238998401287297,-2.06186909473983,1.63940366823111,0.101772739794631,0.433652612152717,-4.81859017903667,0.434,0.102
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Dielma|s__Dielma_fastidiosa,0.335379560549784,-1.61258719407685,1.6392798286309,0.101798527625534,0.433652612152717,-4.81878235595471,0.434,0.102
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa,-0.355001074930793,-1.19808794089518,-1.63527651899603,0.102634974109643,0.433652612152717,-4.82498704626551,0.434,0.103
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae,-0.516745189047607,4.298100876313,-1.62194662753282,0.1054596962353,0.433652612152717,-4.84553879674624,0.434,0.105
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Clostridium_methylpentosum,0.273838630914302,-1.90075515839482,1.61653559358346,0.106623853217985,0.433652612152717,-4.85383395644568,0.434,0.107
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_251,-0.34430867103974,-2.01610378259468,-1.60511425550207,0.109114630888236,0.433652612152717,-4.87125296811995,0.434,0.109
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Catabacteriaceae|g__Catabacter|s__Catabacter_hongkongensis,0.268281353661661,-1.89306510546389,1.59218795836236,0.111989050260843,0.433652612152717,-4.89081987920891,0.434,0.112
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans,-0.562014399962908,1.78868424994043,-1.58958892708637,0.112574166998532,0.433652612152717,-4.89473521215695,0.434,0.113
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_caccae,0.36493434258466,-1.61710727462872,1.58714411580604,0.113126768387665,0.433652612152717,-4.89841244369142,0.434,0.113
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_gasseri,0.283098162792289,-2.03438589806397,1.56253602958339,0.118809055487912,0.444833736764814,-4.9351135194362,0.445,0.119
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_laneus,0.346144637328501,-1.92438580976128,1.55786866544822,0.119911702953993,0.444833736764814,-4.94201051351134,0.445,0.12
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_hydrogenotrophica,-0.493150785524531,0.319347026493504,-1.54761568606988,0.122362150582378,0.446718962443602,-4.95708971067954,0.447,0.122
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mutans,0.42798361201752,-0.481785247726968,1.53032133827113,0.126584217576749,0.452181058885637,-4.98230141526797,0.452,0.127
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_intestinihominis,0.608375727815683,0.649490329334224,1.52207560667931,0.128636894759201,0.452181058885637,-4.99422329951173,0.452,0.129
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemanella|s__Holdemanella_biformis,0.295958369067872,-1.89962830999851,1.51051521606409,0.131558291978815,0.452181058885637,-5.0108302155729,0.452,0.132
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris,0.601245265293112,4.50307744608278,1.50987212418916,0.13172230845799,0.452181058885637,-5.01175035896659,0.452,0.132
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis,0.513710752691187,0.00842544680962895,1.49109952670636,0.136580526972423,0.460390783145559,-5.03843941271868,0.46,0.137
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Agathobaculum|s__Agathobaculum_butyriciproducens,-0.537312731134091,1.76716905142453,-1.48468629068666,0.138271645613753,0.460390783145559,-5.04748133640788,0.46,0.138
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_intestini,0.596983565676845,0.340751038063912,1.47774972144696,0.140118934000822,0.460390783145559,-5.05721763889678,0.46,0.14
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_CAG_241,0.527674947610465,0.410179527254534,1.4461192410539,0.148784763029906,0.481978809815189,-5.10104209696919,0.482,0.149
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_lavalense,-0.398241180506965,0.499288973439285,-1.42948759493537,0.153503054774818,0.490356980530669,-5.12370850947029,0.49,0.154
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia|s__Alloscardovia_omnicolens,-0.219932157279099,-2.09668822070467,-1.40809607248087,0.159738424766254,0.502738543795106,-5.15247976677526,0.503,0.16
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_lutetiensis,-0.30859322226799,-2.00103946289264,-1.40132821491067,0.161750661916686,0.502738543795106,-5.16149286396473,0.503,0.162
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum,0.560171956759685,0.720330671621468,1.37626215918803,0.169370755098501,0.513971911472892,-5.1944994724784,0.514,0.169
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__Turicibacter_sanguinis,-0.341525231033891,-1.30665620008089,-1.37476532443667,0.169834196834521,0.513971911472892,-5.19645178688938,0.514,0.17
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum,-0.514163260345486,3.73058418959422,-1.36010072395321,0.174425112354026,0.521010075862675,-5.21546729012995,0.521,0.174
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum,-0.508865937024116,4.42966370719132,-1.34268507035671,0.179997271173752,0.527647897508448,-5.23778725228218,0.528,0.18
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus|s__Coprobacillus_cateniformis,0.278039431282319,-1.71155946625366,1.33785773932932,0.18156501896333,0.527647897508448,-5.24392345603568,0.528,0.182
